"COD_CENTRO";"Establecimiento";"META 2026"
"121307-121788";"Amanecer + Las Quilas";"0,167700"
"121347-121780";"Pedro de Valdivia + El Salar";"0,167700"
"121305-121782";"Villa Alegre + Arquenco";"0,167700"
"200183";"Centro De Salud Familiar El Carmen";"0,167700"
"121350";"Centro De Salud Familiar Labranza";"0,167700"
"121352";"Centro De Salud Docente Asistencial Monseñor Sergio Valech";"0,167700"
"121309";"Centro De Salud Familiar Pueblo Nuevo";"0,167700"
"121306";"Centro De Salud Familiar Santa Rosa";"0,167700"
